,Отметка времени,Сколько вам лет?,Какие у вас источники дохода?,"Клиентом какого банка вы являетесь (если нескольких, то укажите всех)?",Пользуетесь ли вы кредитной картой?,Сколько банковских карт вы имеете?
20,2020/03/24 11:40:06 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",4.0
21,2020/03/24 11:40:39 PM GMT+3,18-20,"Стипендия;Доход от инвестиций (вклады, ценные бумаги и т.д.);Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
22,2020/03/24 11:41:46 PM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",2.0
23,2020/03/24 11:42:10 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",3.0
24,2020/03/24 11:44:55 PM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, буду продолжать",2.0
25,2020/03/24 11:46:04 PM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",2.0
26,2020/03/24 11:46:29 PM GMT+3,24-26,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Альфа-Банк;Другой,"Пользуюсь, буду продолжать",6.0
27,2020/03/24 11:48:43 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;РокетБанк,"Не пользуюсь, не хочу открывать",2.0
28,2020/03/24 11:50:51 PM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",3.0
29,2020/03/24 11:51:47 PM GMT+3,18-20,Стипендия,Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",3.0
